name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic,ebd_id2022,code
Myiarchus crinitus,3810,6168,6658,16555,NA,NA,885,4520,NA,21.39,Passeriformes,Tyrannidae,Great Crested Flycatcher,NA,10,0,0.56,0,1,0,4,7,0.41,0.84,NA,NA,0.25,1,1,alt,32.1,1,monog,0,05-01,07-30,0.6,cavity,0,0,0,0,20,0,50,10,20,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,0,Invertebrate,60,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,16907,grcfly
Myiarchus tyrannulus,3820,6169,6660,16556,16557:16565,NA,886,4530,NA,14.06,Passeriformes,Tyrannidae,Brown-crested Flycatcher,NA,9,0,0.53,1,1,0,4,5,NA,NA,NA,NA,0.25,1,1,alt,35.45,1,monog,0,04-01,07-30,0.5,cavity,0,0,0,0,10,0,20,20,30,20,0,0,0,0,0,0,20,80,0,0,0,0,0,1,0,Invertebrate,70,0,10,0,0,0,20,0,0,0,0,0,20,0,0,50,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,16908,bncfly
Pitangus sulphuratus,3830,6219,6596,16590,16591:16600,NA,889,4490,NA,16.71,Passeriformes,Tyrannidae,Great Kiskadee,NA,8,1,0.53,1,1,0,4,5,NA,NA,NA,NA,0.25,1,1,alt,62.85,2,monog,0,04-15,07-30,0,sphere,0,0,0,0,0,20,40,10,20,0,10,0,0,0,0,0,50,40,10,0,0,0,0,1,0,Omnivore,40,10,10,10,0,0,30,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,30,0,0,0,0,0,0,0,16941,grekis
Myiodynastes luteiventris,3840,6212,6604,16660,NA,16661,893,4510,NA,25.99,Passeriformes,Tyrannidae,Sulphur-bellied Flycatcher,NA,8,1,0.53,1,1,0,3,4,NA,NA,NA,NA,0.25,1,1,alt,46.9,1,monog,0,03-01,08-05,0.2,cavity,0,0,0,0,5,0,55,10,30,0,0,0,0,0,0,0,0,0,0,50,50,0,0,1,0,Omnivore,40,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17011,subfly
Tyrannus melancholicus,3850,6187,6623,16674,16675:16677,16678;16680;16696,897,4460,4462,22.39,Passeriformes,Tyrannidae,Tropical Kingbird,NA,9,1,0.43,1,1,0,2,4,0.64,0.66,0.11,NA,0.07,0,1,alt,37.4,1,monog,0,05-20,07-20,0,cup,0,0,0,0,0,20,20,20,40,0,0,0,0,0,0,0,0,0,50,50,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,17025,trokin
Tyrannus couchii,3860,6189,6624,16679,NA,16680;16708,898,4461,4462,26.61,Passeriformes,Tyrannidae,Couch's Kingbird,NA,9,1,0.43,1,1,0,3,4,0.52,0.66,0.52,1.5,0.18,1,1,alt,39,1,monog,0,04-15,08-10,0,cup,0,0,0,0,5,0,70,25,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,Invertebrate,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17030,coukin
Tyrannus vociferans,3870,6190,6625,16681,16682:16683,16688,900,4480,4447,31.84,Passeriformes,Tyrannidae,Cassin's Kingbird,NA,8,0,0.43,1,1,0,3,4,0.52,0.58,0.77,1.3,0.23,0,1,alt,45.6,1,monog,0,04-15,08-15,0,cup,0,0,0,0,10,0,60,30,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,1,0,Invertebrate,80,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,17032,caskin
Tyrannus crassirostris,3880,6191,6626,16684,16685:16686,NA,901,4451,NA,29.05,Passeriformes,Tyrannidae,Thick-billed Kingbird,NA,10,0,0.43,1,1,0,3,5,0.52,0.66,0.52,NA,0.18,1,1.25,alt,55.89,1,monog,0,05-10,07-15,0,cup,0,0,0,0,0,0,70,20,10,0,0,0,0,0,0,0,0,0,40,30,30,0,0,1,0,Invertebrate,80,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,17035,thbkin
Tyrannus verticalis,3890,6192,6627,16687,NA,16688;16709;16692,902,4470,4447,33.18,Passeriformes,Tyrannidae,Western Kingbird,NA,6,0,0.43,1,1,0,3,4,0.52,0.66,0.52,1.63,0.24,0,1,alt,39.6,1,monog,0,05-01,07-30,0,cup,0,0,0,5,35,10,20,10,10,10,0,0,0,0,0,0,30,30,40,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,17038,weskin
Tyrannus tyrannus,3900,6195,6628,16691,NA,16692,904,4440,NA,33.94,Passeriformes,Tyrannidae,Eastern Kingbird,NA,10,0,0.43,0,1.5,0,3,4,0.38,0.57,0.67,NA,0.15,0,1,alt,39.85,1,monog,0,05-10,07-20,0,cup,0,0,0,0,10,30,40,10,10,0,0,0,0,0,0,0,0,80,20,0,0,0,0,1,0,Invertebrate,70,0,10,0,0,0,10,0,10,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,17042,easkin
Tyrannus dominicensis,3910,6196,6629,16693,16694:16695,16696,905,4450,NA,31.5,Passeriformes,Tyrannidae,Grey Kingbird,NA,9,1,0.43,1,1,0,3,4,0.73,0.66,0.52,NA,0.25,0,1,alt,46.5,2,monog,0,04-10,09-15,0,cup,0,0,0,0,0,20,60,20,0,0,0,0,0,0,0,0,40,30,30,0,0,0,0,1,0,Invertebrate,60,0,10,0,0,0,30,0,0,0,0,0,0,30,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,17044,grykin
Tyrannus forficatus,3920,6193,6632,16707,NA,16708;16709,907,4430,NA,37.48,Passeriformes,Tyrannidae,Scissor-tailed Flycatcher,NA,9,1,0.43,1,1.2,0,3,5,0.31,0.84,0.52,3.1,0.14,0,1,alt,39.3,1,monog,0,03-20,08-15,0,cup,0,0,0,0,20,30,40,10,0,0,0,0,0,0,0,0,20,20,60,0,0,0,0,1,0,Invertebrate,60,0,0,0,0,0,20,0,20,0,0,0,20,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,17058,sctfly
Tyrannus savana,3925,6194,6633,16710,16711:16714,NA,908,4420,NA,27.582,Passeriformes,Tyrannidae,Fork-tailed Flycatcher,NA,9,1,0.43,0,1,0,3,5,0.48,NA,NA,NA,0.21,0,1,alt,31.9,1,monog,0,03-10,06-30,0,cup,0,0,0,0,20,30,40,10,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,0,0,30,0,0,0,0,0,20,30,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,17062,fotfly
Vireo atricapilla,3930,7757,7383,18322,NA,NA,950,6300,NA,15.51,Passeriformes,Vireonidae,Black-capped Vireo,NA,7,0,0.65,0,1,0,3,4,0.43,0.42,0.19,2.13,0.1,0,1.8,alt,8.99,2,monog,0,04-10,08-25,0,cup,0,0,0,0,0,20,70,10,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,1,0,Invertebrate,90,0,0,0,0,0,0,0,10,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18700,bkcvir1
