name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic
Aythya americana,240,729,548,576,,577;578;582,49,1460,,46.04,Anseriformes,Anatidae,Redhead,,21,0,0.51,0,1.1,0.5,10,11,0.85,0.32,,2.3,0.3,0,1,pre2,1075.69,3,monog,0,05-10,09-15,0,cup,0,0,0,0,0,0,0,0,0,0,0,100,0,50,50,0,0,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,20,20,0,0,0
Aythya collaris,250,730,555,580,,581;593;600;604;608,51,1500,,48.21,Anseriformes,Anatidae,Ring-necked Duck,,20,0,0.59,0,1,0,8,10,0.7,0.91,0.77,3.4,0.49,0,1,pre2,704.55,2,monog,0,05-01,08-15,0,scrape,0,60,0,0,0,0,0,0,0,0,0,40,0,0,100,0,0,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,0,0,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Aythya marila,260,738,557,596,597:598,599;600;601;606;607;608;609,53,1480,1489,45.89,Anseriformes,Anatidae,Greater Scaup,,22,0,0.79,0,1,0,7,10,0.55,0.45,,3.04,0.25,0,1,pre2,1005.37,3,monog,0,05-25,09-30,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,1,1,0,Invertebrate,80,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Aythya affinis,270,739,558,602,,603;604;605;606;607;608;609,54,1490,1489,50.99,Anseriformes,Anatidae,Lesser Scaup,,18.3,0,0.59,0,1.5,0,9,12,0.37,,0.68,,0.25,0,1,pre2,819.45,3,monog,0,05-25,09-10,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,PlantSeed,70,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
Aythya fuligula,271,736,556,591,,592;593;594,52,1491,,48.431,Anseriformes,Anatidae,Tufted Duck,,18,1,0.59,1,1.5,0,8,11,,,,,0.25,1,1,pre2,701.17,3,monog,0,05-25,09-10,0,scrape,0,50,50,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,1,0,Omnivore,50,0,0,0,0,10,0,0,20,15,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,80,10,0,0,0,0
Polysticta stelleri,280,745,488,611,,,,,,49.38,Anseriformes,Anatidae,Steller's Eider,,12,0,0.83,0,2.5,0,6,8,0.43,,,3.5,0.3,0,1,pre2,806.76,2,monog,0,06-10,08-05,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0
Somateria fischeri,290,744,485,612,,614,,,,44.99,Anseriformes,Anatidae,Spectacled Eider,,8,0,0.78,0,2.5,0,4,6,0.45,,,,0.3,0,1,pre2,1557.16,2,monog,0,05-25,08-30,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,25,0,0,0
Somateria spectabilis,300,743,486,613,,614;623;624,58,1620,,48.92,Anseriformes,Anatidae,King Eider,,15,0,0.94,0,3,0,4,5,0.22,0.89,,,0.2,0,0.9,pre2,1616.71,3,monog,0,06-05,09-25,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,10,0,0,0
Somateria mollissima,310,740,487,615,616:621,622;623;624,59,1590,,45.48,Anseriformes,Anatidae,Common Eider,,21,0,0.83,0,3.5,0,4,5,0.27,0.69,,,0.19,0,0.75,pre2,2060.93,3,monog,0,06-01,09-30,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,70,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,10,10,0,0,0
Histrionicus histrionicus,320,747,597,626,,,60,1550,,50.04,Anseriformes,Anatidae,Harlequin Duck,,10,0,0.71,0,2.5,0,6,8,,0.81,0.43,2.4,0.34,0,1,pre2,561.57,3,monog,0,04-25,09-05,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,1,0,Invertebrate,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,20,0,0,0
